station_name,connection_id,panorama_id,connected_panorama_id,building_level_comparison,heading,panorama_lat,panorama_lng,connected_panorama_lat,connected_panorama_lng
東京駅,38,ZyQ5x7g3iOIDC-YfQHUVXQ,CGQgSOokrjvtOtsdXMvlmQ,-1,89.99295927,35.68115511,139.7674294,35.68114193,139.7676496
東京駅,38,aRu95uyFkOszhxI_Lo9daw,ZyQ5x7g3iOIDC-YfQHUVXQ,1,-97.12431763,35.68116937,139.7676485,35.68115511,139.7674294
東京駅,38,CGQgSOokrjvtOtsdXMvlmQ,ZyQ5x7g3iOIDC-YfQHUVXQ,1,-90.00704073,35.68114193,139.7676496,35.68115511,139.7674294
東京駅,39,Omtw48OH1uuVb8U_txNBOQ,Hi12MrLvdQ80eWHs8ZNI3w,1,30.84675221,35.68138059,139.7669522,35.68154243,139.7670523
東京駅,39,Omtw48OH1uuVb8U_txNBOQ,8oQV7M4b24BiLIzRpyQoLA,1,20.27496223,35.68138059,139.7669522,35.68155171,139.7670168
東京駅,39,Hi12MrLvdQ80eWHs8ZNI3w,Omtw48OH1uuVb8U_txNBOQ,-1,-149.1532478,35.68154243,139.7670523,35.68138059,139.7669522
東京駅,39,8oQV7M4b24BiLIzRpyQoLA,Omtw48OH1uuVb8U_txNBOQ,-1,-159.7250378,35.68155171,139.7670168,35.68138059,139.7669522
東京駅,39,bdYq2A_GTMYjz5TAA0bSuA,Hi12MrLvdQ80eWHs8ZNI3w,1,19.7116605,35.68133111,139.766975,35.68154243,139.7670523
東京駅,39,bdYq2A_GTMYjz5TAA0bSuA,8oQV7M4b24BiLIzRpyQoLA,1,10.60577628,35.68133111,139.766975,35.68155171,139.7670168
東京駅,39,Hi12MrLvdQ80eWHs8ZNI3w,bdYq2A_GTMYjz5TAA0bSuA,-1,-160.2883395,35.68154243,139.7670523,35.68133111,139.766975
東京駅,39,8oQV7M4b24BiLIzRpyQoLA,bdYq2A_GTMYjz5TAA0bSuA,-1,-169.3942237,35.68155171,139.7670168,35.68133111,139.766975
東京駅,40,EW-fMz_HAdzAaWjlwJJGMg,guy-RInbvGXaqpbSXU1WqA,1,33.43209475,35.68143984,139.7667523,35.68157624,139.766846
東京駅,40,EW-fMz_HAdzAaWjlwJJGMg,bsSqe0Y_JgQ_Je-HV2IemA,1,20.82119533,35.68143984,139.7667523,35.68158549,139.766809
東京駅,40,guy-RInbvGXaqpbSXU1WqA,EW-fMz_HAdzAaWjlwJJGMg,-1,-146.5679052,35.68157624,139.766846,35.68143984,139.7667523
東京駅,40,bsSqe0Y_JgQ_Je-HV2IemA,EW-fMz_HAdzAaWjlwJJGMg,-1,-159.1788047,35.68158549,139.766809,35.68143984,139.7667523
東京駅,40,SBoRARzXfVHCrpNOS8LO1g,guy-RInbvGXaqpbSXU1WqA,1,26.07957013,35.68138688,139.7667506,35.68157624,139.766846
東京駅,40,SBoRARzXfVHCrpNOS8LO1g,bsSqe0Y_JgQ_Je-HV2IemA,1,16.11767229,35.68138688,139.7667506,35.68158549,139.766809
東京駅,40,guy-RInbvGXaqpbSXU1WqA,SBoRARzXfVHCrpNOS8LO1g,-1,-153.9204299,35.68157624,139.766846,35.68138688,139.7667506
東京駅,40,bsSqe0Y_JgQ_Je-HV2IemA,SBoRARzXfVHCrpNOS8LO1g,-1,-163.8823277,35.68158549,139.766809,35.68138688,139.7667506
東京駅,41,ZIrf8vhzjU5rkAyDqAnP_A,CsQcKUoMGfCDLjGnzObHpw,1,34.47544254,35.68149381,139.7665348,35.68163084,139.7666329
東京駅,41,ZIrf8vhzjU5rkAyDqAnP_A,URc8gjw5TmuYSHiecGDooQ,1,21.76240038,35.68149381,139.7665348,35.68163984,139.7665945
東京駅,41,CsQcKUoMGfCDLjGnzObHpw,ZIrf8vhzjU5rkAyDqAnP_A,-1,-145.5245575,35.68163084,139.7666329,35.68149381,139.7665348
東京駅,41,URc8gjw5TmuYSHiecGDooQ,ZIrf8vhzjU5rkAyDqAnP_A,-1,-158.2375996,35.68163984,139.7665945,35.68149381,139.7665348
東京駅,41,2pt6XFko4XK5XT_ZKAfNSQ,CsQcKUoMGfCDLjGnzObHpw,1,19.63655366,35.68143469,139.7665614,35.68163084,139.7666329
東京駅,41,2pt6XFko4XK5XT_ZKAfNSQ,URc8gjw5TmuYSHiecGDooQ,1,9.081826543,35.68143469,139.7665614,35.68163984,139.7665945
東京駅,41,CsQcKUoMGfCDLjGnzObHpw,2pt6XFko4XK5XT_ZKAfNSQ,-1,-160.3634463,35.68163084,139.7666329,35.68143469,139.7665614
東京駅,41,URc8gjw5TmuYSHiecGDooQ,2pt6XFko4XK5XT_ZKAfNSQ,-1,-170.9181735,35.68163984,139.7665945,35.68143469,139.7665614
東京駅,42,fWIETSqsBAnO77HIhrMJOw,7yHc_uQ9pUun-SxFa_TJzQ,1,22.41597363,35.68150785,139.7663984,35.68179378,139.7665192
東京駅,42,7yHc_uQ9pUun-SxFa_TJzQ,fWIETSqsBAnO77HIhrMJOw,-1,-157.5840264,35.68179378,139.7665192,35.68150785,139.7663984
東京駅,43,UcGa-MFGGpSmKMxyqjVpPA,zbnWkQ86rnkqAXyBPIx1xQ,-1,-75.1477458,35.68162899,139.7661632,35.68169845,139.7659497
東京駅,43,UcGa-MFGGpSmKMxyqjVpPA,ibN-VDPo8YzXCQpjiX7_Bg,-1,-61.50757541,35.68162899,139.7661632,35.68175315,139.7659573
東京駅,43,zbnWkQ86rnkqAXyBPIx1xQ,UcGa-MFGGpSmKMxyqjVpPA,1,104.8522542,35.68169845,139.7659497,35.68162899,139.7661632
東京駅,43,ibN-VDPo8YzXCQpjiX7_Bg,UcGa-MFGGpSmKMxyqjVpPA,1,118.4924246,35.68175315,139.7659573,35.68162899,139.7661632
東京駅,44,bQvwvazSvgqCXJmCNc1Oiw,W6kmXodGY23RE-MjOhkBng,-1,0.3453706838,35.6814724,139.7663578,35.68165527,139.7663589
東京駅,44,W6kmXodGY23RE-MjOhkBng,bQvwvazSvgqCXJmCNc1Oiw,1,-179.6546293,35.68165527,139.7663589,35.6814724,139.7663578
東京駅,45,ZbxRgUxfsmme5v1lJ72hyw,bQvwvazSvgqCXJmCNc1Oiw,1,-160.328594,35.68182289,139.7664858,35.6814724,139.7663578
東京駅,45,bQvwvazSvgqCXJmCNc1Oiw,ZbxRgUxfsmme5v1lJ72hyw,-1,19.67140597,35.6814724,139.7663578,35.68182289,139.7664858
東京駅,46,D6_8WJSE6irU6y8jAoCxUg,Uf_LqQjPf8d2OlarOnAYkQ,1,27.12220371,35.68181223,139.76651,35.68212041,139.7666727
東京駅,46,Uf_LqQjPf8d2OlarOnAYkQ,D6_8WJSE6irU6y8jAoCxUg,-1,-152.8777963,35.68212041,139.7666727,35.68181223,139.76651
